case,status,uncertainty_score,true_kabs,pred_kabs,std_kabs,abs_err_kabs,rel_err_kabs,true_kmax,pred_kmax,std_kmax,abs_err_kmax,rel_err_kmax,true_kmin,pred_kmin,std_kmin,abs_err_kmin,rel_err_kmin,true_kp1,pred_kp1,std_kp1,abs_err_kp1,rel_err_kp1,true_kp2,pred_kp2,std_kp2,abs_err_kp2,rel_err_kp2,true_kp3,pred_kp3,std_kp3,abs_err_kp3,rel_err_kp3,true_ka1,pred_ka1,std_ka1,abs_err_ka1,rel_err_ka1,true_ka2,pred_ka2,std_ka2,abs_err_ka2,rel_err_ka2,true_kd,pred_kd,std_kd,abs_err_kd,rel_err_kd,true_ksc,pred_ksc,std_ksc,abs_err_ksc,rel_err_ksc,true_Vmx,pred_Vmx,std_Vmx,abs_err_Vmx,rel_err_Vmx,true_Km0,pred_Km0,std_Km0,abs_err_Km0,rel_err_Km0,abs_err_mean,rel_err_mean,within_10pct_all
0,ok,0.07026307750493288,0.9282809495925903,1.0479649305343628,0.12447284162044525,0.11968398094177246,0.12893077359208988,1.0551047325134277,1.0589770078659058,0.08101805299520493,0.0038722753524780273,0.003670038843682987,0.8732158541679382,0.971016526222229,0.0699332058429718,0.09780067205429077,0.11200056845908067,0.9439639449119568,0.9856112003326416,0.07673294097185135,0.041647255420684814,0.044119540418007426,1.0658700466156006,1.04400634765625,0.0795447826385498,0.021863698959350586,0.020512537179155382,0.8824538588523865,1.0241247415542603,0.08264751732349396,0.14167088270187378,0.16054197200306192,0.9508863687515259,1.0149574279785156,0.07782108336687088,0.06407105922698975,0.06738035303956705,1.0843679904937744,1.0107338428497314,0.08075413852930069,0.07363414764404297,0.06790512841541288,1.0168607234954834,1.006295084953308,0.046769846230745316,0.010565638542175293,0.010390448070268319,1.036461353302002,1.0005120038986206,0.041753340512514114,0.03594934940338135,0.03468469836222297,0.9222731590270996,0.9837734699249268,0.04271891713142395,0.06150031089782715,0.06668340100312954,1.0490596294403076,1.0308793783187866,0.038990262895822525,0.018180251121520996,0.017330045510587887,0.057536626855532326,0.06117912540802225,0.0
1,ok,0.07206146946797769,1.1275700330734253,1.018250823020935,0.12789833545684814,0.10931921005249023,0.0969511487942954,1.1567188501358032,1.0281914472579956,0.07568143308162689,0.12852740287780762,0.11111377917176504,1.072526216506958,0.9702854752540588,0.07609628885984421,0.10224074125289917,0.09532703227141663,1.1948182582855225,1.070790410041809,0.07768752425909042,0.12402784824371338,0.10380478150851523,0.9842156171798706,1.0185822248458862,0.09327176958322525,0.034366607666015625,0.03491776300450122,1.1380287408828735,1.0399870872497559,0.08172409236431122,0.09804165363311768,0.08615041967837979,1.0980477333068848,1.0365139245986938,0.07620565593242645,0.06153380870819092,0.05603928394157826,1.1991108655929565,1.024105191230774,0.07628652453422546,0.17500567436218262,0.14594620012524268,0.940483033657074,1.0163789987564087,0.04956340044736862,0.07589596509933472,0.08069892000519435,1.0198898315429688,1.0066367387771606,0.04108515381813049,0.013253092765808105,0.012994631729740648,1.094757318496704,1.0036580562591553,0.044496212154626846,0.09109926223754883,0.08321411576644609,0.9972726702690125,1.0043373107910156,0.04474124312400818,0.007064640522003174,0.007083960818957869,0.08503132561842601,0.07618683640133611,0.0
2,ok,0.07048576697707176,1.0018430948257446,1.0267293453216553,0.1245584562420845,0.024886250495910645,0.024840467159420038,0.961399495601654,1.0213502645492554,0.07896584272384644,0.05995076894760132,0.06235781194172927,1.0576753616333008,0.9747340679168701,0.07269271463155746,0.08294129371643066,0.07841847954966985,1.1393415927886963,1.0538183450698853,0.08323058485984802,0.08552324771881104,0.07506374581610863,0.9261485934257507,1.013339638710022,0.09117832034826279,0.08719104528427124,0.09414368914793514,0.906958818435669,1.031713843345642,0.0772862657904625,0.12475502490997314,0.1375531307200384,1.1869721412658691,1.0141336917877197,0.06940959393978119,0.17283844947814941,0.14561289475069106,0.9819769263267517,1.0266542434692383,0.07838869094848633,0.04467731714248657,0.04549731866878942,0.9527411460876465,1.012110710144043,0.042547039687633514,0.059369564056396484,0.062314474713507165,0.966537594795227,1.00285804271698,0.0437314435839653,0.03632044792175293,0.03757789465959455,1.0887678861618042,1.0046335458755493,0.0357622466981411,0.08413434028625488,0.07727481803568872,0.9653920531272888,0.982884407043457,0.04807800427079201,0.017492353916168213,0.018119430193674707,0.07334000865618388,0.07156451294640391,0.0
3,ok,0.07373872088889281,1.0869786739349365,1.054290533065796,0.13007479906082153,0.032688140869140625,0.030072476721928074,1.1014235019683838,1.023669719696045,0.07970822602510452,0.07775378227233887,0.07059390155864931,0.9198746085166931,0.9847904443740845,0.07553131878376007,0.06491583585739136,0.07057030953606686,1.1451048851013184,1.0447437763214111,0.08878402411937714,0.10036110877990723,0.0876435949978742,1.1971402168273926,1.010981798171997,0.0932239517569542,0.1861584186553955,0.15550260198320312,0.9888648390769958,1.030599594116211,0.07864878326654434,0.04173475503921509,0.042204711291150984,0.880786120891571,1.0099225044250488,0.08007299154996872,0.12913638353347778,0.14661491645980998,1.1220999956130981,1.0169020891189575,0.08125653117895126,0.10519790649414062,0.09375091961983487,0.9590885043144226,1.0054506063461304,0.046656761318445206,0.046362102031707764,0.0483397536547979,0.9622406363487244,0.9916831254959106,0.042110588401556015,0.02944248914718628,0.03059784427615471,1.0527409315109253,1.004438042640686,0.04858631268143654,0.04830288887023926,0.04588297787653559,0.9075880646705627,1.0315533876419067,0.040210362523794174,0.123965322971344,0.13658765225867206,0.0821682612101237,0.07986347168622314,0.0
4,ok,0.07045189198106527,0.8641093373298645,1.0201789140701294,0.12991155683994293,0.1560695767402649,0.1806132279770598,1.1706860065460205,1.0290467739105225,0.08113188296556473,0.14163923263549805,0.12098823411530213,1.0745418071746826,0.9825959801673889,0.07414696365594864,0.0919458270072937,0.08556747293904643,1.0168938636779785,1.0359054803848267,0.07906994968652725,0.019011616706848145,0.01869577286865071,0.9135624766349792,1.0222842693328857,0.08866485208272934,0.1087217926979065,0.11900860146792905,1.0573049783706665,1.0361865758895874,0.07504614442586899,0.0211184024810791,0.019973804070820785,1.1029932498931885,1.0187864303588867,0.0735517144203186,0.08420681953430176,0.07634391193459812,1.0266095399856567,1.0185445547103882,0.07201019674539566,0.008064985275268555,0.007855942265431543,1.0631369352340698,0.997340738773346,0.042950451374053955,0.06579619646072388,0.06188873162067085,0.9041916131973267,0.9966733455657959,0.043969761580228806,0.09248173236846924,0.10228112163244148,1.0858134031295776,0.9833599328994751,0.04080302268266678,0.10245347023010254,0.09435642434953076,1.0263924598693848,0.9867691397666931,0.0441662073135376,0.03962332010269165,0.038604453610009935,0.07759441435337067,0.07718147490429098,0.0
5,ok,0.07191609994818766,0.9728822708129883,1.0372365713119507,0.13344736397266388,0.0643543004989624,0.06614808639197915,1.0882360935211182,1.0638763904571533,0.0645751878619194,0.024359703063964844,0.022384575561306838,0.929609477519989,0.9949742555618286,0.078215092420578,0.0653647780418396,0.07031423368898913,0.9189927577972412,0.9931938052177429,0.07875877618789673,0.07420104742050171,0.08074171073813054,0.9793195128440857,1.039805293083191,0.08600201457738876,0.060485780239105225,0.06176307062793609,1.0226861238479614,1.039736270904541,0.08933528512716293,0.01705014705657959,0.016671925685690016,0.9485355615615845,1.0245704650878906,0.08356884121894836,0.07603490352630615,0.08016030880395149,0.8801794052124023,1.0135185718536377,0.07777418196201324,0.13333916664123535,0.15149089589191006,0.9022930264472961,0.9992902874946594,0.047017902135849,0.09699726104736328,0.10750084307897395,0.9765424728393555,1.0147086381912231,0.04005085304379463,0.038166165351867676,0.039082954826222024,0.9329850077629089,0.9901618957519531,0.04566621407866478,0.05717688798904419,0.061283822905302286,1.029171109199524,1.0342988967895508,0.0385814867913723,0.0051277875900268555,0.004982444167146494,0.059388160705566406,0.06354373936396152,0.0
6,ok,0.06573870933304231,1.1029350757598877,1.0245848894119263,0.12522874772548676,0.07835018634796143,0.07103789522151212,0.9136214256286621,1.0343577861785889,0.07517369836568832,0.12073636054992676,0.13215141103641279,0.9568967819213867,0.9775738716125488,0.05746520683169365,0.02067708969116211,0.021608484929423476,0.9040669202804565,1.0071901082992554,0.07211283594369888,0.10312318801879883,0.11406587909090657,0.8814213871955872,1.0300348997116089,0.08312773704528809,0.14861351251602173,0.16860665587984472,0.9172972440719604,1.0296717882156372,0.07063249498605728,0.11237454414367676,0.12250613949829021,1.1797288656234741,1.0438750982284546,0.07946880161762238,0.13585376739501953,0.11515677148682996,0.8757899403572083,1.0106221437454224,0.07594460248947144,0.1348322033882141,0.1539549578900394,0.9462440013885498,0.9981319904327393,0.034637950360774994,0.05188798904418945,0.05483573895110278,1.0515841245651245,0.9973441362380981,0.037059057503938675,0.05423998832702637,0.05157931454077147,1.0699083805084229,0.9946991801261902,0.03868360444903374,0.07520920038223267,0.07029499137719912,0.9683923125267029,1.0176185369491577,0.03932977467775345,0.049226224422454834,0.05083293597613875,0.09042702118555705,0.09388593132320594,0.0
7,ok,0.07227900251746178,0.9339731335639954,1.020995020866394,0.12463851273059845,0.08702188730239868,0.0931738656874716,0.8528169393539429,0.9944934248924255,0.08488083630800247,0.14167648553848267,0.16612766351218425,0.8809124231338501,0.967927873134613,0.07105306535959244,0.08701545000076294,0.09877877495609048,1.142030119895935,1.040096640586853,0.08327679336071014,0.10193347930908203,0.08925638433981976,1.1148937940597534,1.0097392797470093,0.08684001117944717,0.10515451431274414,0.09431796541788653,1.017114281654358,1.019390344619751,0.07157066464424133,0.0022760629653930664,0.0022377652211224503,1.0641648769378662,0.9886564016342163,0.07385570555925369,0.0755084753036499,0.0709556168785851,1.1457217931747437,1.031070590019226,0.08620694279670715,0.11465120315551758,0.10006897297277051,0.9187911152839661,1.0131282806396484,0.045999106019735336,0.09433716535568237,0.10267531301336764,0.9080193638801575,0.9881016612052917,0.0479474700987339,0.08008229732513428,0.08819448186977621,1.059211254119873,0.9996548891067505,0.04234417900443077,0.05955636501312256,0.05622708858263552,1.0342695713043213,0.9959802627563477,0.048734743148088455,0.03828930854797363,0.037020627513663425,0.08229189117749532,0.08325287666378112,0.0
8,ok,0.07092115034659703,0.8473653793334961,1.0010693073272705,0.1356082707643509,0.15370392799377441,0.1813903798083795,1.1532100439071655,1.044601559638977,0.07517257332801819,0.10860848426818848,0.09417927362149436,0.9260261654853821,0.9976493120193481,0.07500793784856796,0.07162314653396606,0.0773446250262533,1.0889860391616821,1.0313258171081543,0.08250467479228973,0.05766022205352783,0.05294854110151453,1.1238348484039307,1.0425525903701782,0.09036169946193695,0.08128225803375244,0.07232580316332905,1.1344980001449585,1.0381699800491333,0.07109261304140091,0.0963280200958252,0.08490805632404556,1.0874760150909424,1.0424596071243286,0.07410595566034317,0.04501640796661377,0.041395311107481465,0.86164790391922,1.015049934387207,0.07697048038244247,0.15340203046798706,0.1780333124124545,0.9121382236480713,0.9994378089904785,0.0462745763361454,0.08729958534240723,0.09570872383053412,0.9830871224403381,1.0112532377243042,0.03865183889865875,0.028166115283966064,0.028650680739310992,1.0710673332214355,1.0048668384552002,0.045238595455884933,0.06620049476623535,0.0618079673545126,1.0996336936950684,1.016556739807129,0.04006458818912506,0.08307695388793945,0.07554966200497029,0.08603063722451527,0.08702019470785667,0.0
9,ok,0.07185611004630725,0.8276469707489014,1.0511306524276733,0.12245818227529526,0.22348368167877197,0.27002295613617894,1.1670687198638916,1.0649759769439697,0.08340179175138474,0.10209274291992188,0.08747791897963673,1.0761958360671997,1.0035454034805298,0.0775098130106926,0.07265043258666992,0.06750670291771459,0.8865370750427246,0.9746680855751038,0.07739529758691788,0.08813101053237915,0.0994104059642761,0.9191978573799133,1.039737343788147,0.08924394845962524,0.12053948640823364,0.13113551716908922,0.990804135799408,1.0259705781936646,0.07518739253282547,0.03516644239425659,0.03549282963568107,1.1721737384796143,1.012163519859314,0.08127706497907639,0.1600102186203003,0.13650725431525532,1.104001522064209,1.0140777826309204,0.0847616121172905,0.08992373943328857,0.08145255023304088,0.9897732734680176,0.9942606091499329,0.04431065544486046,0.004487335681915283,0.00453370059811004,0.9604930281639099,1.0083383321762085,0.04648152366280556,0.047845304012298584,0.049813275692130995,0.988432765007019,0.9878216981887817,0.04055563360452652,0.0006110668182373047,0.0006182178898460184,0.9633311033248901,1.0134354829788208,0.03969040513038635,0.050104379653930664,0.05201158716976733,0.08292048672835033,0.08466524305839394,0.0
