theta_kabs,theta_kmax,theta_kmin,theta_kp1,theta_kp2,theta_kp3,theta_ka1,theta_ka2,theta_kd,theta_ksc,theta_Vmx,theta_Km0
0.8303542,0.98386943,0.9190936,0.85175276,1.1974174,1.0676478,0.8884465,0.9075678,1.0805959,1.0022712,0.93038934,1.0894688
0.99299055,0.9141762,1.000277,1.1534829,0.9241939,0.9337156,0.97167873,1.1268617,1.0674686,0.92193896,0.9659007,0.97812194
1.0085464,1.1725268,0.9576139,0.865557,1.1476489,1.1465847,0.9180969,1.102245,0.9493866,1.049083,1.0087792,1.0464383
1.1729344,1.1943299,0.9767534,0.89950156,1.0760692,1.1851429,0.9299345,1.1328477,0.9220208,1.0811279,0.90771914,0.92788124
1.2244087,0.8946211,1.1505582,1.0493227,0.87140507,1.0894101,0.89445746,0.9511678,0.9048592,0.99566287,1.042121,1.0679415
1.1928829,1.1328624,0.9406618,1.1414715,1.116297,0.9789125,0.9925309,0.96503174,1.0002798,1.0619684,1.0040152,1.0832093
1.1688552,1.1399838,0.9798196,1.1271815,1.1943645,1.0543586,0.89617103,0.929208,0.97773135,0.9473339,0.9107368,0.931032
1.0450784,1.0394702,1.0347222,1.1041296,1.0012565,1.1163921,1.0543431,1.173304,1.0429369,1.0472212,0.90238637,0.90968245
1.1628602,0.8981496,1.1013482,1.1234164,0.8557442,0.9809042,1.1280408,1.1108338,0.9098461,0.9141446,0.9800212,0.94463325
1.0421345,0.9042206,0.91881126,0.9499042,1.0335541,1.0644162,0.94471985,0.999187,0.99080324,0.9543635,1.0821518,0.92850566
1.1489348,1.185148,0.8610766,0.9286949,1.0792739,1.0911733,1.1520734,0.92883974,1.0074071,1.0571625,0.96410644,1.0332665
0.84399945,1.1657377,1.029515,0.89837384,1.1620954,1.1948007,1.0759523,0.9468714,0.9555218,1.028911,0.922366,0.95797384
0.881963,1.1190104,0.8919749,1.1014886,0.9488691,1.0226531,0.9590899,1.1836712,1.0223914,0.94913113,0.96470207,0.9253343
1.0404415,1.0918558,0.8837419,1.1488557,0.9744032,1.153315,1.118905,0.92710865,1.0393553,1.074541,1.0429385,1.0044619
